<CODE: 0, PROGRAM_TOKEN, PROGRAM , line: 5>
<CODE: 57, ID_TOKEN, SORT , line: 5>
<CODE: 37, SC_TOKEN, ; , line: 5>
<CODE: 3, CONST_TOKEN, CONST , line: 6>
<CODE: 57, ID_TOKEN, MAXELTS , line: 8>
<CODE: 44, EQ_TOKEN, = , line: 8>
<CODE: 58, NUM_TOKEN, 50 , line: 8>
<CODE: 37, SC_TOKEN, ; , line: 8>
<CODE: 57, ID_TOKEN, CH0 , line: 9>
<CODE: 44, EQ_TOKEN, = , line: 9>
<CODE: 44, _TOKEN,  , line: 9>
<CODE: 60, CHARVAL_TOKEN, b , line: 9>
<CODE: 37, SC_TOKEN, ; , line: 9>
<CODE: 57, ID_TOKEN, C , line: 10>
<CODE: 44, EQ_TOKEN, = , line: 10>
<CODE: 44, _TOKEN,  , line: 10>
<CODE: 59, STRVAL_TOKEN, 0 , line: 10>
<CODE: 37, SC_TOKEN, ; , line: 10>
<CODE: 23, TYPE_TOKEN, TYPE , line: 11>
<CODE: 57, ID_TOKEN, INTARRTYPE , line: 13>
<CODE: 44, EQ_TOKEN, = , line: 13>
<CODE: 35, ARRAY_TOKEN, ARRAY , line: 13>
<CODE: 53, OB_TOKEN, [ , line: 13>
<CODE: 58, NUM_TOKEN, 1 , line: 13>
<CODE: 38, PT_TOKEN, . , line: 13>
<CODE: 38, PT_TOKEN, . , line: 13>
<CODE: 57, ID_TOKEN, MAXELTS , line: 13>
<CODE: 54, CB_TOKEN, ] , line: 13>
<CODE: 34, OF_TOKEN, OF , line: 13>
<CODE: 18, INTEGER_TOKEN, INTEGER , line: 13>
<CODE: 37, SC_TOKEN, ; , line: 13>
<CODE: 4, VAR_TOKEN, VAR , line: 15>
<CODE: 57, ID_TOKEN, I , line: 17>
<CODE: 43, COMMA_TOKEN, , , line: 17>
<CODE: 57, ID_TOKEN, J , line: 17>
<CODE: 43, COMMA_TOKEN, , , line: 17>
<CODE: 57, ID_TOKEN, TMP , line: 17>
<CODE: 43, COMMA_TOKEN, , , line: 17>
<CODE: 57, ID_TOKEN, SIZE , line: 17>
<CODE: 56, CL_TOKEN, : , line: 17>
<CODE: 18, INTEGER_TOKEN, INTEGER , line: 17>
<CODE: 37, SC_TOKEN, ; , line: 17>
<CODE: 57, ID_TOKEN, CH , line: 18>
<CODE: 56, CL_TOKEN, : , line: 18>
<CODE: 22, CHAR_TOKEN, CHAR , line: 18>
<CODE: 44, EQ_TOKEN, = , line: 18>
<CODE: 44, _TOKEN,  , line: 18>
<CODE: 60, CHARVAL_TOKEN, M , line: 18>
<CODE: 37, SC_TOKEN, ; , line: 18>
<CODE: 57, ID_TOKEN, D , line: 19>
<CODE: 56, CL_TOKEN, : , line: 19>
<CODE: 20, STRING_TOKEN, STRING , line: 19>
<CODE: 44, EQ_TOKEN, = , line: 19>
<CODE: 44, _TOKEN,  , line: 19>
<CODE: 59, STRVAL_TOKEN, 1 , line: 19>
<CODE: 37, SC_TOKEN, ; , line: 19>
<CODE: 57, ID_TOKEN, ARR , line: 21>
<CODE: 56, CL_TOKEN, : , line: 21>
<CODE: 57, ID_TOKEN, INTARRTYPE , line: 21>
<CODE: 37, SC_TOKEN, ; , line: 21>
<CODE: 24, PROCEDURE_TOKEN, PROCEDURE , line: 24>
<CODE: 57, ID_TOKEN, READARR , line: 24>
<CODE: 51, OP_TOKEN, ( , line: 24>
<CODE: 4, VAR_TOKEN, VAR , line: 24>
<CODE: 57, ID_TOKEN, SIZE , line: 24>
<CODE: 56, CL_TOKEN, : , line: 24>
<CODE: 18, INTEGER_TOKEN, INTEGER , line: 24>
<CODE: 37, SC_TOKEN, ; , line: 24>
<CODE: 4, VAR_TOKEN, VAR , line: 24>
<CODE: 57, ID_TOKEN, A , line: 24>
<CODE: 56, CL_TOKEN, : , line: 24>
<CODE: 57, ID_TOKEN, INTARRTYPE , line: 24>
<CODE: 52, CP_TOKEN, ) , line: 24>
<CODE: 37, SC_TOKEN, ; , line: 24>
<CODE: 1, BEGIN_TOKEN, BEGIN , line: 25>
<CODE: 57, ID_TOKEN, SIZE , line: 26>
<CODE: 45, ASSIGN_TOKEN, := , line: 26>
<CODE: 58, NUM_TOKEN, 1 , line: 26>
<CODE: 37, SC_TOKEN, ; , line: 26>
<CODE: 8, WHILE_TOKEN, WHILE , line: 27>
<CODE: 14, NOT_TOKEN, NOT , line: 27>
<CODE: 57, ID_TOKEN, EOF , line: 27>
<CODE: 9, DO_TOKEN, DO , line: 27>
<CODE: 1, BEGIN_TOKEN, BEGIN , line: 28>
<CODE: 16, READLN_TOKEN, READLN , line: 29>
<CODE: 51, OP_TOKEN, ( , line: 29>
<CODE: 57, ID_TOKEN, A , line: 29>
<CODE: 53, OB_TOKEN, [ , line: 29>
<CODE: 57, ID_TOKEN, SIZE , line: 29>
<CODE: 54, CB_TOKEN, ] , line: 29>
<CODE: 52, CP_TOKEN, ) , line: 29>
<CODE: 37, SC_TOKEN, ; , line: 29>
<CODE: 5, IF_TOKEN, IF , line: 30>
<CODE: 14, NOT_TOKEN, NOT , line: 30>
<CODE: 57, ID_TOKEN, EOF , line: 30>
<CODE: 6, THEN_TOKEN, THEN , line: 30>
<CODE: 57, ID_TOKEN, SIZE , line: 31>
<CODE: 45, ASSIGN_TOKEN, := , line: 31>
<CODE: 57, ID_TOKEN, SIZE , line: 31>
<CODE: 39, PLUS_TOKEN, + , line: 31>
<CODE: 58, NUM_TOKEN, 1 , line: 32>
<CODE: 2, END_TOKEN, END , line: 32>
<CODE: 2, END_TOKEN, END , line: 33>
<CODE: 37, SC_TOKEN, ; , line: 33>
<CODE: 1, BEGIN_TOKEN, BEGIN , line: 35>
<CODE: 57, ID_TOKEN, READARR , line: 37>
<CODE: 51, OP_TOKEN, ( , line: 37>
<CODE: 57, ID_TOKEN, SIZE , line: 37>
<CODE: 43, COMMA_TOKEN, , , line: 37>
